exercice,niveau,groupe_musculaire,materiel,zone_du_corps
Double Kettlebell Waiter Clean to Alternating Overhead Press,avancé,fessiers,Kettlebell,corps entier
Double Kettlebell Waiter Clean to Thruster,avancé,épaules,Kettlebell,corps entier
Kettlebell Start Stop Swing,débutant,fessiers,Kettlebell,corps entier
Double Kettlebell Dead Clean,intermédiaire,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Half Kneeling Side Press,intermédiaire,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Bottoms Up Thruster,intermédiaire,épaules,Kettlebell,corps entier
Single Arm Kettlebell Dead Clean,intermédiaire,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Dead Clean,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Push Up to L Sit,intermédiaire,pectoraux,Kettlebell,haut du corps
Parallette Push Up to L Sit,avancé,pectoraux,barres parallèles,haut du corps
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,avancé,abdominaux,Kettlebell,sangle abdominale
Single Arm Kettlebell Bent Press,intermédiaire,épaules,Kettlebell,
Single Arm Barbell Bent Press,avancé,épaules,Barbell,haut du corps
Single Arm Kettlebell Cossack Squat Thruster,intermédiaire,épaules,Kettlebell,corps entier
Double Kettlebell Cossack Squat Thruster,intermédiaire,épaules,Kettlebell,corps entier
Double Kettlebell Bottoms Up Front Rack Pistol Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Bodyweight Standing Wall Angels,débutant,épaules,Bodyweight,haut du corps
Double Kettlebell Clean to Sots Press,intermédiaire,épaules,Kettlebell,corps entier
Plate Lu Raise,débutant,épaules,disque de poids,haut du corps
Single Arm Plate Windmill,avancé,abdominaux,disque de poids,sangle abdominale
Single Arm Plate Turkish Get Up,avancé,abdominaux,disque de poids,corps entier
Plate Steering Wheel,débutant,épaules,disque de poids,haut du corps
Kettlebell Half Kneeling Alternating Halo,débutant,épaules,Kettlebell,haut du corps
Kettlebell Tall Kneeling Alternating Halo,débutant,épaules,Kettlebell,haut du corps
Kettlebell Tall Kneeling Alternating Hip to Halo,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Clean to Thruster,intermédiaire,épaules,Kettlebell,corps entier
Suspension Reverse Fly,débutant,épaules,sangles de suspension,haut du corps
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,avancé,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Suitcase Bulgarian Split Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Suspension Cuban Press,débutant,épaules,sangles de suspension,haut du corps
Double Kettlebell Turkish Get Up,avancé,abdominaux,Kettlebell,corps entier
Bodyweight Windmill,débutant,abdominaux,Bodyweight,sangle abdominale
Double Kettlebell Snatch to Overhead Squat,avancé,quadriceps,Kettlebell,corps entier
Single Arm Kettlebell Half Kneeling Clean,intermédiaire,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Half Kneeling Snatch,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Front Rack Alternating Curtsy Lunge,intermédiaire,quadriceps,Kettlebell,bas du corps
Bodyweight Single Arm Contralateral Single Leg Push Up,intermédiaire,pectoraux,Bodyweight,haut du corps
Double Kettlebell Dead Squat Clean,intermédiaire,quadriceps,Kettlebell,corps entier
Single Arm Kettlebell Dead Squat Clean,intermédiaire,quadriceps,Kettlebell,corps entier
Ring Kneeling Rollout,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Ring Standing Rollout,avancé,abdominaux,anneaux de gymnastique,sangle abdominale
Ring Alternating Single Arm Reach Push Up,avancé,pectoraux,anneaux de gymnastique,haut du corps
Ring L Sit Dips,avancé,triceps,anneaux de gymnastique,haut du corps
Kettlebell Goblet Cyclist Squat,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Dead Clean to Overhead Press,intermédiaire,épaules,Kettlebell,corps entier
Double Kettlebell Dead Clean to Thruster,intermédiaire,épaules,Kettlebell,corps entier
Single Arm Kettlebell Dead Snatch,intermédiaire,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Dead Snatch,intermédiaire,fessiers,Kettlebell,corps entier
Double Kettlebell Dead Snatch,intermédiaire,fessiers,Kettlebell,corps entier
Barbell Decline Bench Press,débutant,pectoraux,Barbell,haut du corps
Bodyweight Hand Assisted Bulgarian Split Squat,débutant,quadriceps,Bodyweight,bas du corps
Bodyweight Bulgarian Split Squat,débutant,quadriceps,Bodyweight,bas du corps
Plate Otis Up,débutant,abdominaux,disque de poids,sangle abdominale
Single Arm Kettlebell Turkish Sit Up to Z Press,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Double Dumbbell Decline Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Double Dumbbell Flat Bench Chest Fly,débutant,pectoraux,Dumbbell,haut du corps
Double Dumbbell Decline Bench Chest Fly,débutant,pectoraux,Dumbbell,haut du corps
Alternating Double Kettlebell Rotational Overhead Press,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Rotational Thruster,débutant,épaules,Kettlebell,corps entier
Single Ring Chin Up,avancé,biceps,anneaux de gymnastique,haut du corps
Double Kettlebell Windmill,avancé,abdominaux,Kettlebell,sangle abdominale
Single Arm Plate Teacup,intermédiaire,épaules,disque de poids,haut du corps
Ring L Sit Chin Up,avancé,biceps,anneaux de gymnastique,haut du corps
Single Ring L Sit Chin Up,avancé,biceps,anneaux de gymnastique,haut du corps
Barbell Front Rack Bulgarian Split Squat,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Back Rack Bulgarian Split Squat,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Front Rack Alternating Curtsy Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Bodyweight Dragon Flag,avancé,abdominaux,Bodyweight,sangle abdominale
Double Kettlebell Dragon Flag,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Ring Iron Cross,avancé,dos,anneaux de gymnastique,haut du corps
Parallette Tuck Planche Push Up,intermédiaire,pectoraux,barres parallèles,haut du corps
Ring Inverted Iron Cross,avancé,dos,anneaux de gymnastique,
Ring Maltese Push Up,intermédiaire,pectoraux,anneaux de gymnastique,haut du corps
Ring Tuck Planche,avancé,abdominaux,anneaux de gymnastique,
Ring Tuck Planche Push Up,intermédiaire,pectoraux,anneaux de gymnastique,haut du corps
Cable Quadruped Hip Abduction,débutant,abducteurs,Cable,bas du corps
Alternating Double Kettlebell Push Press,débutant,épaules,Kettlebell,haut du corps
Barbell Turkish Sit Up,intermédiaire,abdominaux,Barbell,sangle abdominale
Plate Turkish Sit Up,intermédiaire,abdominaux,disque de poids,sangle abdominale
Barbell Seated Overhead Press,débutant,épaules,Barbell,haut du corps
Dumbbell Crush Grip Romanian Deadlift,débutant,ischio-jambiers,Dumbbell,bas du corps
Ring Pelican Curl,avancé,biceps,anneaux de gymnastique,haut du corps
Kettlebell Dead Bug,débutant,abdominaux,Kettlebell,sangle abdominale
Single Arm Kettlebell Bottoms Up Copenhagen Plank,intermédiaire,adducteurs,Kettlebell,bas du corps
Ring Chin Up,intermédiaire,biceps,anneaux de gymnastique,haut du corps
Dumbbell Crush Grip Bent Over Row,débutant,dos,Dumbbell,haut du corps
Dumbbell Crush Grip Bicep Curl to Overhead Press,débutant,épaules,Dumbbell,haut du corps
Dumbbell Crush Grip Overhead Press,débutant,épaules,Dumbbell,haut du corps
Dumbbell Crush Grip Hollow Body Hold With Flutter Kicks,intermédiaire,abdominaux,Dumbbell,sangle abdominale
Dumbbell Crush Grip Floor Chest Press,débutant,pectoraux,Dumbbell,haut du corps
Parallette Crow Pose,intermédiaire,abdominaux,barres parallèles,
Dumbbell Crush Grip Z Press,débutant,épaules,Dumbbell,haut du corps
Dumbbell Crush Grip Standing Overhead Tricep Extension,débutant,triceps,Dumbbell,haut du corps
Double Kettlebell Bottoms Up Front Rack March,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Barbell Half Kneeling Overhead Press,débutant,épaules,Barbell,haut du corps
Barbell Tall Kneeling Overhead Press,débutant,épaules,Barbell,haut du corps
Single Arm Kettlebell Tactical Clean,avancé,fessiers,Kettlebell,corps entier
Barbell Overhead March,intermédiaire,abdominaux,Barbell,sangle abdominale
Bodyweight Adductor Slide,débutant,adducteurs,disques de glisse,bas du corps
Alternating Single Arm Kettlebell Ballistic Row,intermédiaire,dos,Kettlebell,haut du corps
Bodyweight Row Feet Elevated,intermédiaire,dos,Bodyweight,haut du corps
Bodyweight Row,débutant,dos,Bodyweight,haut du corps
Ring Row,débutant,dos,anneaux de gymnastique,haut du corps
Ring Bulgarian Row,débutant,dos,anneaux de gymnastique,haut du corps
Kettlebell Half Kneeling Rotational Swing,intermédiaire,abdominaux,Kettlebell,corps entier
Double Kettlebell Push Jerk,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Clean to Push Jerk,intermédiaire,épaules,Kettlebell,corps entier
Bodyweight Pseudo Planche Push Up,avancé,pectoraux,Bodyweight,haut du corps
Parallette Pseudo Planche Push Up,intermédiaire,pectoraux,barres parallèles,haut du corps
Double Kettlebell Front Rack March,débutant,abdominaux,Kettlebell,sangle abdominale
Double Kettlebell Suitcase March,débutant,abdominaux,Kettlebell,sangle abdominale
Single Arm Kettlebell Rotational Snatch,avancé,épaules,Kettlebell,corps entier
Double Dumbbell Staggered Stance Romanian Deadlift,débutant,ischio-jambiers,Dumbbell,bas du corps
Barbell Staggered Stance Romanian Deadlift,intermédiaire,ischio-jambiers,Barbell,bas du corps
Single Arm Kettlebell Contralateral Staggered Stance Romanian Deadlift,débutant,ischio-jambiers,Kettlebell,bas du corps
Ring Hanging Knees to Elbows,avancé,abdominaux,anneaux de gymnastique,sangle abdominale
Barbell Staggered Stance Overhead Press,intermédiaire,épaules,Barbell,haut du corps
Superband Assisted Nordic Hamstring Curl,intermédiaire,ischio-jambiers,super élastique,bas du corps
Kettlebell Staggered Stance Rotational Swing,intermédiaire,abdominaux,Kettlebell,corps entier
Single Arm Kettlebell Suitcase Curtsy Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Suitcase Walking Lunge Pass Through,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Bottoms Up Bench Press,débutant,pectoraux,Kettlebell,haut du corps
Double Kettlebell Overhead Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Bottoms Up Overhead Press,intermédiaire,épaules,Kettlebell,haut du corps
Double Kettlebell Suitcase Carry,débutant,avant-bras,Kettlebell,corps entier
Single Arm Kettlebell Suitcase Carry,débutant,avant-bras,Kettlebell,corps entier
Single Arm Dumbbell Suitcase Carry,débutant,avant-bras,Dumbbell,corps entier
Double Dumbbell Glute Bridge Bench Press,débutant,pectoraux,Dumbbell,
Bodyweight Foot Elevated Cossack Squat,débutant,quadriceps,Bodyweight,bas du corps
Kettlebell Goblet Foot Elevated Cossack Squat,débutant,quadriceps,Kettlebell,bas du corps
Alternating Single Arm Kettlebell Knee Hover Quadruped Pull Through,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Cable Seated Floor V Grip Lat Pulldown,débutant,dos,Cable,haut du corps
Single Arm Kettlebell High Pull,intermédiaire,épaules,Kettlebell,
Double Kettlebell Suitcase Deficit Bulgarian Split Squat,avancé,quadriceps,Kettlebell,bas du corps
Double Kettlebell Suitcase Knee Over Toes Split Squat,débutant,quadriceps,Kettlebell,bas du corps
Superband Standing Adduction,débutant,adducteurs,super élastique,bas du corps
Superband Lateral Adduction Steps,débutant,adducteurs,super élastique,bas du corps
Single Arm Kettlebell Single Leg Balance Transfer,intermédiaire,abdominaux,Kettlebell,corps entier
Single Arm Kettlebell Suitcase Contralateral Knee Over Toes Split Squat,débutant,quadriceps,Kettlebell,bas du corps
Suspension Alternating Cossack Squat,débutant,quadriceps,sangles de suspension,bas du corps
Battle Rope Single Leg Balance Alternating Wave,avancé,biceps,cordes ondulatoires,haut du corps
Battle Rope Alternating Wave,débutant,biceps,cordes ondulatoires,haut du corps
Superband Assisted Dips,intermédiaire,pectoraux,super élastique,haut du corps
Cable Tall Kneeling Face Pull,débutant,épaules,Cable,haut du corps
Suspension Split Squat,débutant,quadriceps,sangles de suspension,bas du corps
Double Kettlebell Suitcase Deadlift,débutant,dos,Kettlebell,corps entier
Suspension Cyclist Squat,débutant,quadriceps,sangles de suspension,bas du corps
Cable Rope Tall Kneeling Tricep Pushdown,débutant,triceps,Cable,haut du corps
Double Kettlebell Bottoms Up Clean,intermédiaire,fessiers,Kettlebell,corps entier
Alternating Single Arm Kettlebell Feet Elevated Plank Pull Through,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Bodyweight Cyclist Squat,débutant,quadriceps,Bodyweight,bas du corps
Single Arm Kettlebell Bottoms Up Clean,intermédiaire,fessiers,Kettlebell,corps entier
Slider Single Leg Hamstring Curl,avancé,ischio-jambiers,disques de glisse,bas du corps
Single Arm Suspension Cyclist Squat,débutant,quadriceps,sangles de suspension,bas du corps
Single Arm Kettlebell Split Squat Thruster,intermédiaire,épaules,Kettlebell,corps entier
Barbell Low Bar Pause Back Squat,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Pause Front Squat,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Overhead Pause Squat,intermédiaire,quadriceps,Barbell,bas du corps
Double Kettlebell Suitcase Alternating Reverse Lunge,débutant,quadriceps,Kettlebell,bas du corps
Alternating Single Arm Kettlebell Sumo Deadlift,débutant,fessiers,Kettlebell,corps entier
Dumbbell Goblet Cyclist Squat,débutant,quadriceps,Dumbbell,bas du corps
Barbell Overhead Alternating Cossack Squat,avancé,quadriceps,Barbell,bas du corps
Barbell Overhead Alternating Reverse Lunge,avancé,quadriceps,Barbell,bas du corps
Miniband Side Plank Hip Abduction,intermédiaire,abducteurs,mini élastique,bas du corps
Slider Double Kettlebell Suitcase Reverse Lunge,débutant,quadriceps,disques de glisse,bas du corps
Slider Double Kettlebell Front Rack Reverse Lunge,débutant,quadriceps,disques de glisse,bas du corps
Single Arm Kettlebell Suitcase March,débutant,abdominaux,Kettlebell,sangle abdominale
Single Arm Kettlebell Bottoms Up Front Rack March,intermédiaire,abdominaux,Kettlebell,sangle abdominale
Double Kettlebell Half Snatch,intermédiaire,fessiers,Kettlebell,corps entier
Single Arm Kettlebell Half Snatch,intermédiaire,épaules,Kettlebell,corps entier
Kettlebell Goblet Horse Stance Squat,débutant,quadriceps,Kettlebell,bas du corps
Barbell Front Rack Alternating Forward Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Front Rack Alternating Reverse Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Barbell Overhead Alternating Forward Lunge,avancé,quadriceps,Barbell,bas du corps
Macebell 360,intermédiaire,épaules,macebell,haut du corps
Single Arm Macebell 360,intermédiaire,épaules,macebell,haut du corps
Macebell 10 to 2 ,intermédiaire,épaules,macebell,haut du corps
Macebell Barbarian Squat,débutant,quadriceps,macebell,corps entier
Macebell Ballistic Curl,débutant,biceps,macebell,haut du corps
Double Indian Club Outer Heart Shaped Swing,intermédiaire,épaules,massues indiennes,haut du corps
Double Kettlebell Feet Elevated Renegade Row,avancé,dos,Kettlebell,haut du corps
Double Kettlebell Feet Elevated Renegade Row Push Up,avancé,dos,Kettlebell,haut du corps
Clubbell Shield Cast,intermédiaire,épaules,clubbell,haut du corps
Single Arm Clubbell Shield Cast,intermédiaire,épaules,clubbell,haut du corps
Alternating Double Clubbell Shield Cast,intermédiaire,épaules,clubbell,haut du corps
Single Arm Clubbell Inside Circle,intermédiaire,abdominaux,clubbell,corps entier
Double Clubbell Alternating Inside Circles,intermédiaire,abdominaux,clubbell,corps entier
Clubbell Inside Circle,intermédiaire,abdominaux,clubbell,corps entier
Double Clubbell Side Shoulder Cast,intermédiaire,épaules,clubbell,haut du corps
Double Clubbell Side Shoulder Cast to Side Flag Press,intermédiaire,épaules,clubbell,haut du corps
Clubbell Mill,intermédiaire,épaules,clubbell,haut du corps
Clubbell Inside Pendulum,intermédiaire,abdominaux,clubbell,corps entier
Double Clubbell Iron Cross,intermédiaire,épaules,clubbell,haut du corps
Clubbell Gamma Cast,intermédiaire,épaules,clubbell,haut du corps
Single Arm Clubbell Pullover,débutant,dos,clubbell,haut du corps
Double Clubbell Pullover,débutant,dos,clubbell,haut du corps
Clubbell Pullover,débutant,dos,clubbell,haut du corps
Clubbell Side Swing,intermédiaire,abdominaux,clubbell,corps entier
Single Arm Clubbell Inside Pendulum,intermédiaire,abdominaux,clubbell,corps entier
Double Clubbell Swipe,intermédiaire,fessiers,clubbell,corps entier
Single Arm Clubbell Swipe,intermédiaire,fessiers,clubbell,corps entier
Single Arm Clubbell Crossbody Swipe,intermédiaire,abdominaux,clubbell,corps entier
Single Arm Clubbell Inside Circle to Shield Cast,avancé,épaules,clubbell,corps entier
Clubbell Barbarian Squat,débutant,quadriceps,clubbell,corps entier
Single Arm Clubbell Inside Circle to Outside Circle,intermédiaire,abdominaux,clubbell,corps entier
Clubbell Side to Side Swing,intermédiaire,abdominaux,clubbell,corps entier
Double Clubbell Barbarian Squat,débutant,quadriceps,clubbell,corps entier
Single Arm Clubbell Side to Side Swing,intermédiaire,abdominaux,clubbell,corps entier
Alternating Single Arm Clubbell Side to Side Swing,avancé,abdominaux,clubbell,corps entier
Double Clubbell Side Flag Press,intermédiaire,épaules,clubbell,haut du corps
Clubbell Front Flag Press,débutant,épaules,clubbell,haut du corps
Double Clubbell Order Bulgarian Split Squat,intermédiaire,quadriceps,clubbell,bas du corps
Barbell Hang Squat Clean,avancé,quadriceps,Barbell,corps entier
Kettlebell Single Leg Standing Hip Flexion,intermédiaire,fléchisseurs hanche,Kettlebell,bas du corps
Miniband Supine Alternating Hip Flexion,débutant,fléchisseurs hanche,mini élastique,bas du corps
Double Indian Club Inner Heart Shaped Swing,intermédiaire,épaules,massues indiennes,haut du corps
Alternating Double Indian Club Inner Heart Shaped Swing,intermédiaire,épaules,massues indiennes,haut du corps
Single Arm Clubbell Barbarian Squat,débutant,quadriceps,clubbell,corps entier
Clubbell Order Cyclist Squat,débutant,quadriceps,clubbell,bas du corps
Single Arm Clubbell Order Contralateral Bulgarian Split Squat,intermédiaire,quadriceps,clubbell,bas du corps
Single Arm Clubbell Order Ipsilateral Bulgarian Split Squat,intermédiaire,quadriceps,clubbell,bas du corps
Single Arm Ring Dead Hang,débutant,dos,anneaux de gymnastique,haut du corps
Clubbell Torch Press,débutant,épaules,clubbell,haut du corps
Single Arm Clubbell Torch Press,débutant,épaules,clubbell,haut du corps
Resistance Band Shoulder Dislocates,débutant,épaules,Resistance Band,haut du corps
Suspension Reverse Grip Bicep Curl,débutant,avant-bras,sangles de suspension,haut du corps
Bulgarian Bag Side to Side Swing,intermédiaire,abdominaux,sac bulgare,corps entier
Barbell Reverse Grip Bicep Curl,intermédiaire,avant-bras,Barbell,haut du corps
Cable Straight Bar Reverse Grip Bicep Curl,débutant,avant-bras,Cable,haut du corps
Cable Straight Bar Bicep Curl,débutant,biceps,Cable,haut du corps
Double Clubbell Clean,débutant,fessiers,clubbell,corps entier
Single Arm Clubbell Reverse Mill,intermédiaire,épaules,clubbell,haut du corps
Bulgarian Bag Spin,avancé,épaules,sac bulgare,haut du corps
Bulgarian Bag Alternating Spin to Side Swing Squat,avancé,épaules,sac bulgare,corps entier
Bulgarian Bag Swipe,intermédiaire,fessiers,sac bulgare,corps entier
Bulgarian Bag Snatch,intermédiaire,fessiers,sac bulgare,corps entier
Bulgarian Bag Alternating Side Swing Squat,avancé,abdominaux,sac bulgare,corps entier
Bulgarian Bag Clean,intermédiaire,fessiers,sac bulgare,corps entier
Bulgarian Bag Swing,débutant,fessiers,sac bulgare,corps entier
Bulgarian Bag Front Rack Squat,débutant,quadriceps,sac bulgare,bas du corps
Bulgarian Bag Back Rack Squat,débutant,quadriceps,sac bulgare,bas du corps
Bulgarian Bag Swing Squat,avancé,fessiers,sac bulgare,corps entier
Bulgarian Bag Alternating Forward Lunge with Rotation,intermédiaire,quadriceps,sac bulgare,corps entier
Single Arm Clubbell Mill,intermédiaire,épaules,clubbell,haut du corps
Double Clubbell Mill,intermédiaire,épaules,clubbell,haut du corps
Single Arm Cable Reverse Grip Bicep Curl,débutant,avant-bras,Cable,haut du corps
Dumbbell Goblet Low Switch Cossack Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Kettlebell Goblet Low Switch Cossack Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Cossack Squat,débutant,quadriceps,Kettlebell,bas du corps
Double Kettlebell Front Rack Low Switch Cossack Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Kettlebell Bottoms Up Front Rack Cossack Squat,intermédiaire,quadriceps,Kettlebell,bas du corps
Double Dumbbell Front Rack Cossack Squat,débutant,quadriceps,Dumbbell,bas du corps
Double Dumbbell Low Hold Alternating Cossack Squat,débutant,quadriceps,Dumbbell,bas du corps
Kettlebell Low Hold Cossack Squat,débutant,quadriceps,Kettlebell,bas du corps
Kettlebell Low Hold Alternating Cossack Squat,débutant,quadriceps,Kettlebell,bas du corps
Barbell Back Rack Cossack Squat,intermédiaire,quadriceps,Barbell,bas du corps
Landmine Goblet Cossack Squat,intermédiaire,quadriceps,landmine,bas du corps
Dumbbell Goblet Cossack Squat,débutant,quadriceps,Dumbbell,bas du corps
Dumbbell Goblet Foot Elevated Cossack Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Double Dumbbell Front Rack Foot Elevated Cossack Squat,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Cossack Squat,débutant,quadriceps,Dumbbell,bas du corps
Dumbbell Low Hold Cossack Squat,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Kettlebell Front Rack Cossack Squat,débutant,quadriceps,Kettlebell,bas du corps
Heavy Sandbag Bear Hug Carry,intermédiaire,abdominaux,sac de sable lourd,corps entier
Dumbbell Hip Thrust,débutant,fessiers,Dumbbell,bas du corps
Double Dumbbell Overhead Carry,intermédiaire,épaules,Dumbbell,corps entier
Double Kettlebell Front Rack Carry,débutant,abdominaux,Kettlebell,corps entier
Double Kettlebell Overhead Carry,intermédiaire,épaules,Kettlebell,corps entier
Double Kettlebell Bottoms Up Overhead Carry,avancé,épaules,Kettlebell,corps entier
Single Arm Kettlebell Overhead Carry,intermédiaire,épaules,Kettlebell,corps entier
Single Arm Kettlebell Bottoms Up Overhead Carry,avancé,épaules,Kettlebell,corps entier
Heavy Sandbag Shoulder Carry,intermédiaire,abdominaux,sac de sable lourd,corps entier
Double Dumbbell Front Rack Carry,débutant,abdominaux,Dumbbell,corps entier
Single Arm Dumbbell Front Rack Carry,débutant,abdominaux,Dumbbell,corps entier
Barbell Overhead Carry,avancé,épaules,Barbell,corps entier
Barbell Front Rack Carry,intermédiaire,abdominaux,Barbell,corps entier
Single Arm Kettlebell Half Kneeling Bent Press,intermédiaire,épaules,Kettlebell,
Single Arm Kettlebell Tall Kneeling Overhead Press,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Bottoms Up Tall Kneeling Overhead Press,intermédiaire,épaules,Kettlebell,haut du corps
Double Kettlebell Bottoms Up Tall Kneeling Overhead Press,intermédiaire,épaules,Kettlebell,haut du corps
Alternating Double Kettlebell Tall Kneeling Overhead Press,débutant,épaules,Kettlebell,haut du corps
Alternating Double Kettlebell Half Kneeling Overhead Press,débutant,épaules,Kettlebell,haut du corps
Double Kettlebell Bottoms Up Half Kneeling Overhead Press,intermédiaire,épaules,Kettlebell,haut du corps
Double Kettlebell Tall Kneeling Seesaw Overhead Press,débutant,épaules,Kettlebell,haut du corps
Heavy Sandbag Bear Hug Squat,intermédiaire,quadriceps,sac de sable lourd,bas du corps
Heavy Sandbag Shoulder Squat,intermédiaire,quadriceps,sac de sable lourd,bas du corps
Heavy Sandbag Turkish Get Up,avancé,abdominaux,sac de sable lourd,corps entier
Heavy Sandbag Bear Hug Alternating Reverse Lunge,intermédiaire,quadriceps,sac de sable lourd,corps entier
Heavy Sandbag Shoulder Alternating Forward Lunge,intermédiaire,quadriceps,sac de sable lourd,bas du corps
Heavy Sandbag Shoulder Walking Lunge,intermédiaire,quadriceps,sac de sable lourd,bas du corps
Heavy Sandbag Shoulder Clean,intermédiaire,fessiers,sac de sable lourd,corps entier
Heavy Sandbag Over the Shoulder,intermédiaire,fessiers,sac de sable lourd,corps entier
Heavy Sandbag Alternating Over the Shoulder,intermédiaire,fessiers,sac de sable lourd,corps entier
Heavy Sandbag Bear Hug Walking Lunge,intermédiaire,quadriceps,sac de sable lourd,corps entier
Bodyweight Hand Assisted Sissy Squat,débutant,quadriceps,Bodyweight,bas du corps
Superband Sissy Squat,intermédiaire,quadriceps,super élastique,bas du corps
Double Dumbbell Front Rack Walking Lunge,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Suitcase Walking Lunge,débutant,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Overhead Walking Lunge,intermédiaire,quadriceps,Dumbbell,bas du corps
Single Arm Dumbbell Front Rack Walking Lunge,débutant,quadriceps,Dumbbell,bas du corps
Barbell Front Rack Walking Lunge,intermédiaire,quadriceps,Barbell,bas du corps
Double Kettlebell Suitcase Walking Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Suitcase Walking Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Front Rack Walking Lunge,débutant,quadriceps,Kettlebell,bas du corps
Single Arm Kettlebell Overhead Walking Lunge,intermédiaire,quadriceps,Kettlebell,bas du corps
Bodyweight Box Jumps,intermédiaire,quadriceps,Bodyweight,bas du corps
Bodyweight Lateral Box Jumps,intermédiaire,quadriceps,Bodyweight,bas du corps
Bodyweight Alternating Lateral Box Jumps,intermédiaire,quadriceps,Bodyweight,bas du corps
Bodyweight Straddle Planche,intermédiaire,abdominaux,Bodyweight,
Macebell Alternating 360 to Ballistic Curl,intermédiaire,épaules,macebell,haut du corps
Kettlebell Romanian Deadlift,débutant,ischio-jambiers,Kettlebell,bas du corps
Double Dumbbell Hammer Curl,débutant,biceps,Dumbbell,haut du corps
Single Arm Kettlebell Arm Bar,débutant,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Bottoms Up Arm Bar,intermédiaire,épaules,Kettlebell,haut du corps
Single Arm Kettlebell Bottoms Up Arm Bar Rotation,intermédiaire,épaules,Kettlebell,haut du corps
Barbell Zercher Carry,avancé,abdominaux,Barbell,corps entier
Alternating Double Dumbbell Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Alternating Double Dumbbell Incline Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Alternating Double Dumbbell Decline Bench Press,débutant,pectoraux,Dumbbell,haut du corps
Alternating Double Dumbbell Top Down Bench Press,débutant,pectoraux,Dumbbell,haut du corps
